clusterId,timepoint,nodeId,timepointIdx,x,y,z,origin,ProportionOfCells
A,Mock,1_A,1,29.8420965308205,29.9548817472107,29.9047928598417,A,0.284788732394366
A,SYN-1,2_A,2,29.9796557147394,29.9797342321489,29.9498568709826,A,0.283802816901408
A,SYN-2,3_A,3,30.0047749757276,30.0798809697474,30.0028265145072,A,0.280416666666667
A,SYN-3,4_A,4,27.9508040875047,30.109080809738,29.9009079739149,A,0.280972222222222
A,SYN-4,5_A,5,35.0214105268432,29.9779557684016,30.0469906754645,A,0.140985915492958
A|1,SYN-1,2_A|1,2,15.9115639625,27.792008835,19.284755465,,0.000563380281690141
A|2,SYN-2,3_A|2,3,17.4083140862,31.254307905,43.283991169,,0.00138888888888889
A|2,SYN-3,4_A|2,4,15.9797448000769,32.8579586653846,44.3717165061539,,0.00180555555555556
A|2,SYN-4,5_A|2,5,20.0159496616667,31.403153555,32.5277758366667,,0.000845070422535211
A|3,SYN-4,5_A|3,5,21.0233108908309,29.9728685426326,29.996941167988,,0.140704225352113
B,Mock,1_B,1,10.011249348109,10.028860251081,10.0578412692018,B,0.709014084507042
B,SYN-1,2_B,2,10.3780488052148,10.4021937749735,10.456515950373,B,0.696619718309859
B,SYN-2,3_B,3,10.4050025361026,10.6320042183945,10.6198617881771,B,0.654166666666667
B,SYN-3,4_B,4,10.4234755271598,11.2376059078583,10.6525906447846,B,0.55
B,SYN-4,5_B,5,10.1125845519678,10.5730225089835,10.467712429546,B,0.393661971830986
B|1,SYN-2,3_B|1,3,13.13409405,7.805889437,36.040984365,,0.000277777777777778
B|1,SYN-3,4_B|1,4,9.45648260825,18.8483755925,35.3610856525,,0.000555555555555556
B|1,SYN-4,5_B|1,5,6.00253166766667,17.2106666176667,28.8344956933333,,0.000422535211267606
B|2,SYN-4,5_B|2,5,9.98367465653916,17.6374096627711,9.35921158469579,,0.0467605633802817
B|3,SYN-4,5_B|3,5,16.2592742,19.87084867,24.48162551,,0.000140845070422535
B|4,SYN-4,5_B|4,5,16.2051856413762,9.10742348774312,10.8041160046514,,0.0153521126760563
C,Mock,1_C,1,24.9335077288636,18.9695289600909,19.3686399465455,C,0.00619718309859155
C,SYN-1,2_C,2,31.1153734544445,16.0988849254889,20.5852461437778,C,0.00633802816901409
C,SYN-2,3_C,3,43.1847082622727,20.7777176327273,18.0654852429545,C,0.00305555555555556
C,SYN-3,4_C,4,43.1629293388889,19.9528938679444,19.9102217083333,C,0.0025
C,SYN-4,5_C,5,39.7829129975,18.666077895,15.70253664,C,0.000563380281690141
C|1,SYN-1,2_C|1,2,24.7941699975,10.230510413,8.97553767925,,0.000563380281690141
C|2,SYN-2,3_C|2,3,26.605565154,12.6738537508,42.102843442,,0.000694444444444445
C|2,SYN-3,4_C|2,4,29.2428481442857,10.4423283234286,35.7727218242857,,0.000972222222222222
C|2,SYN-4,5_C|2,5,32.243246505,11.9465750935,30.62263312,,0.00112676056338028
C|3,SYN-2,3_C|3,3,30.2001871522222,25.8865059166667,11.1556527361111,,0.00125
C|3,SYN-3,4_C|3,4,27.561732395,40.686360395,9.3076294045,,0.000277777777777778
C|3,SYN-4,5_C|3,5,25.7445353526667,25.4710793006667,7.24828826686667,,0.00211267605633803
C|4,SYN-4,5_C|4,5,32.7879311842857,6.59401806571429,19.7896525724286,,0.000985915492957746
D,SYN-1,2_D,2,8.758986828,10.058508794,14.56835409,D,0.00028169014084507
D,SYN-2,3_D,3,8.88845946645,10.416737034,14.820681128,D,0.00277777777777778
D,SYN-3,4_D,4,9.0361687566455,10.4187342872169,15.5485804012699,D,0.02625
D,SYN-4,5_D,5,9.00756332587273,10.4197767839455,15.7276615360909,D,0.0154929577464789
E,SYN-1,2_E,2,13.7455936942105,10.7891401811579,10.9838371884211,E,0.00267605633802817
E,SYN-2,3_E,3,14.0900134556579,10.840350147,10.8918874265789,E,0.0105555555555556
E,SYN-3,4_E,4,14.4813675469048,10.6859978868175,10.8953156618254,E,0.0175
E,SYN-4,5_E,5,14.4736344635088,11.0087959198246,10.8929766228772,E,0.00802816901408451
F,SYN-1,2_F,2,17.28540877,17.33992423,10.7962299,F,0.000140845070422535
F,SYN-2,3_F,3,15.4581066513333,10.8092909448667,9.68317001586667,F,0.00208333333333333
F,SYN-3,4_F,4,16.0297266372959,10.8451783503469,9.68356290466836,F,0.0272222222222222
F,SYN-4,5_F,5,16.193661347193,10.9696630599912,9.69546125650878,F,0.016056338028169
G,SYN-1,2_G,2,13.4456594049123,10.4257691948947,9.36706377049123,G,0.00802816901408451
G,SYN-2,3_G,3,13.6146448327536,10.4558766620797,9.39716661902898,G,0.0191666666666667
G,SYN-3,4_G,4,13.9236045434146,10.5902157608293,9.21478130017073,G,0.0113888888888889
G,SYN-4,5_G,5,13.9132065756522,10.664638053,9.17913922865217,G,0.00647887323943662
H,SYN-1,2_H,2,14.2123084014286,9.164995045,8.90868808571429,H,0.000985915492957746
H,SYN-2,3_H,3,14.39540181,9.20408531754,9.24651701094,H,0.00694444444444444
H,SYN-3,4_H,4,14.9787075425397,9.25801491376984,9.07604428471429,H,0.0175
H,SYN-4,5_H,5,15.1260029985135,9.33525580632433,8.91370318801351,H,0.0104225352112676
I,SYN-2,3_I,3,38.8160599166667,45.1320596533333,29.85678924,I,0.000416666666666667
I,SYN-3,4_I,4,36.9515003433333,41.5231040866667,27.3092392966667,I,0.000416666666666667
I,SYN-4,5_I,5,36.8011278633333,31.2955600466667,32.6626219066667,I,0.000422535211267606
J,SYN-2,3_J,3,49.7367332173787,49.8570577862136,50.0923778801942,J,0.0143055555555556
J,SYN-3,4_J,4,49.8315031780583,49.8941845776699,50.179733256602,J,0.0143055555555556
K,SYN-2,3_K,3,42.33825854375,35.9049506225,42.490031236875,K,0.00222222222222222
K,SYN-3,4_K,4,40.8720514558333,33.7645643483333,46.8286627141667,K,0.00166666666666667
L,SYN-2,3_L,3,17.9150075,24.76117624,14.06559421,L,0.000138888888888889
M,SYN-2,3_M,3,12.34872386,21.02095846,6.918666795,M,0.000138888888888889
M,SYN-3,4_M,4,7.741352898,20.407512725,6.75008479,M,0.000277777777777778
M,SYN-4,5_M,5,9.9204082845342,18.2599772850814,5.48049870265798,M,0.0432394366197183
N,SYN-3,4_N,4,13.37666485,31.8083335566667,19.1877430966667,N,0.000416666666666667
N,SYN-4,5_N,5,12.3630667,29.5078969,19.23526353,N,0.000140845070422535
O,SYN-3,4_O,4,10.3838488819527,9.76681610346154,17.3610213902959,O,0.0234722222222222
O,SYN-4,5_O,5,10.4969871519854,9.63897674483211,17.6310312085402,O,0.0192957746478873
P,SYN-3,4_P,4,17.84853731,13.84836872,22.98272352,P,0.000138888888888889
P,SYN-4,5_P,5,21.17145463,12.44728833,19.20916666,P,0.000140845070422535
Q,SYN-3,4_Q,4,20.22106395625,11.02926128875,9.37246379225,Q,0.00111111111111111
Q,SYN-4,5_Q,5,21.0110651883333,10.600737496,9.33786151491667,Q,0.00169014084507042
R,SYN-3,4_R,4,8.70115528330953,10.2239857681905,17.7869045909524,R,0.00583333333333333
R,SYN-4,5_R,5,7.98442317714847,10.0726724064891,18.1974290468559,R,0.0322535211267606
S,SYN-3,4_S,4,17.7986211463964,9.6482790165045,9.96374460465766,S,0.0154166666666667
S,SYN-4,5_S,5,17.934518234424,8.94742550000922,9.85325147139171,S,0.0305633802816901
T,SYN-4,5_T,5,4.68173443,9.86636479854868,18.206424835177,T,0.031830985915493
U,SYN-4,5_U,5,22.123955755,21.9876387,20.06962299,U,0.00028169014084507
V,SYN-4,5_V,5,13.96925703,12.9923073066667,16.33926462,V,0.000422535211267606
W,SYN-4,5_W,5,18.1033794474733,5.30823845987545,9.9660981006726,W,0.0395774647887324
