timepoint,cluster,group
Mock,A,1
Mock,B,2
Mock,C,3
Mock,A,4
Mock,C,5
SYN-1,A,6
SYN-1,B,7
SYN-1,C,8
SYN-1,D,9
SYN-1,E,10
SYN-1,F,11
SYN-1,G,12
SYN-1,H,13
SYN-1,A,14
SYN-1,B,15
SYN-1,C,16
SYN-1,C,17
SYN-2,A,18
SYN-2,B,19
SYN-2,C,20
SYN-2,D,21
SYN-2,E,22
SYN-2,F,23
SYN-2,G,24
SYN-2,H,25
SYN-2,A|2,26
SYN-2,A|2,27
SYN-2,B|1,28
SYN-2,B|1,29
SYN-2,C|2,30
SYN-2,C|2,31
SYN-2,C|3,32
SYN-2,C|3,33
SYN-2,I,34
SYN-2,J,35
SYN-2,K,36
SYN-2,M,37
SYN-3,A,38
SYN-3,B,39
SYN-3,C,40
SYN-3,D,41
SYN-3,E,42
SYN-3,F,43
SYN-3,G,44
SYN-3,H,45
SYN-3,A|2,46
SYN-3,A|2,47
SYN-3,B|1,48
SYN-3,B|1,49
SYN-3,C|2,50
SYN-3,C|2,51
SYN-3,C|3,52
SYN-3,C|3,53
SYN-3,I,54
SYN-3,M,55
SYN-3,N,56
SYN-3,O,57
SYN-3,P,58
SYN-3,Q,59
SYN-3,R,60
SYN-3,S,61
SYN-3,A,62
SYN-3,B,63
SYN-3,B,64
SYN-3,B,65
SYN-3,C,66
SYN-1,A,1
SYN-1,B,2
SYN-1,C,3
SYN-1,A|1,4
SYN-1,C|1,5
SYN-2,A,6
SYN-2,B,7
SYN-2,C,8
SYN-2,D,9
SYN-2,E,10
SYN-2,F,11
SYN-2,G,12
SYN-2,H,13
SYN-2,A|2,14
SYN-2,B|1,15
SYN-2,C|2,16
SYN-2,C|3,17
SYN-3,A,18
SYN-3,B,19
SYN-3,C,20
SYN-3,D,21
SYN-3,E,22
SYN-3,F,23
SYN-3,G,24
SYN-3,H,25
SYN-3,A|2,26
SYN-3,A|2,27
SYN-3,B|1,28
SYN-3,B|1,29
SYN-3,C|2,30
SYN-3,C|2,31
SYN-3,C|3,32
SYN-3,C|3,33
SYN-3,I,34
SYN-3,J,35
SYN-3,K,36
SYN-3,M,37
SYN-4,A,38
SYN-4,B,39
SYN-4,C,40
SYN-4,D,41
SYN-4,E,42
SYN-4,F,43
SYN-4,G,44
SYN-4,H,45
SYN-4,A|2,46
SYN-4,A|2,47
SYN-4,B|1,48
SYN-4,B|1,49
SYN-4,C|2,50
SYN-4,C|2,51
SYN-4,C|3,52
SYN-4,C|3,53
SYN-4,I,54
SYN-4,M,55
SYN-4,N,56
SYN-4,O,57
SYN-4,P,58
SYN-4,Q,59
SYN-4,R,60
SYN-4,S,61
SYN-4,A|3,62
SYN-4,B|2,63
SYN-4,B|3,64
SYN-4,B|4,65
SYN-4,C|4,66
