from,to
1_C,2_C
1_J,2_J
1_G,"2_(A,B|1,G|1)"
1_B,"2_(A,B|1,G|1)"
1_A,"2_(A,B|1,G|1)"
1_G,"2_(B,G)"
1_B,"2_(B,G)"
1_E,"2_(D,E)"
1_D,"2_(D,E)"
1_E,2_E|1
1_H,"2_(F,H)"
1_F,"2_(F,H)"
1_C,2_C|1
1_E,2_E|2
1_H,"2_(G|2,H|1)"
1_G,"2_(G|2,H|1)"
"2_(D,E)","3_(D,E)"
2_E|1,3_E|1
2_E|1,3_E|1
"2_(G|2,H|1)","3_(G|2,H|1)"
"2_(A,B|1,G|1)","3_((A,B|1,G|1),C|1)"
2_C|1,"3_((A,B|1,G|1),C|1)"
2_C|1,"3_((A,B|1,G|1),C|1)"
"2_(A,B|1,G|1)","3_((A,B|1,G|1)|1,(B,G))"
"2_(B,G)","3_((A,B|1,G|1)|1,(B,G))"
"2_(F,H)","3_((F,H),J)"
2_J,"3_((F,H),J)"
2_J,3_J|1
"3_(D,E)","4_(D,E)"
3_E|1,4_E|1
3_E|1,4_E|1
3_K,4_K
3_L,4_L
3_J|1,4_J|1
3_J|1,4_J|1
"3_((A,B|1,G|1)|1,(B,G))","4_(((A,B|1,G|1),C|1),((A,B|1,G|1)|1,(B,G)))"
"3_((A,B|1,G|1),C|1)","4_(((A,B|1,G|1),C|1),((A,B|1,G|1)|1,(B,G)))"
"3_((F,H),J)","4_(((F,H),J),M)"
3_M,"4_(((F,H),J),M)"
"3_((A,B|1,G|1),C|1)","4_(((A,B|1,G|1),C|1)|1,(G|2,H|1))"
"3_(G|2,H|1)","4_(((A,B|1,G|1),C|1)|1,(G|2,H|1))"
"3_((A,B|1,G|1),C|1)","4_((A,B|1,G|1),C|1)|2"
"3_(G|2,H|1)","4_(G|2,H|1)|1"
"4_(D,E)","5_(D,E)"
4_E|1,5_E|1
4_E|1,5_E|1
"4_(((A,B|1,G|1),C|1),((A,B|1,G|1)|1,(B,G)))","5_(((A,B|1,G|1),C|1),((A,B|1,G|1)|1,(B,G)))"
"4_(((F,H),J),M)","5_(((F,H),J),M)"
"4_(((A,B|1,G|1),C|1)|1,(G|2,H|1))","5_(((A,B|1,G|1),C|1)|1,(G|2,H|1))"
"4_((A,B|1,G|1),C|1)|2","5_((A,B|1,G|1),C|1)|2"
"4_(G|2,H|1)|1","5_(G|2,H|1)|1"
"4_(((F,H),J),M)","5_((((F,H),J),M)|1,J|1)"
4_J|1,"5_((((F,H),J),M)|1,J|1)"
4_J|1,"5_((((F,H),J),M)|1,J|1)"
"4_(((A,B|1,G|1),C|1)|1,(G|2,H|1))","5_(((A,B|1,G|1),C|1)|1,(G|2,H|1))|1"
