clusterId,timepoint,nodeId,timepointIdx,x,y,z,origin,ProportionOfCells
"((((F,H),J),M)|1,J|1)",SYN-4,"5_((((F,H),J),M)|1,J|1)",5,21.0172967939403,29.9814075576318,30.0120506286965,,0.141549295774648
"(((A,B|1,G|1),C|1),((A,B|1,G|1)|1,(B,G)))",SYN-3,"4_(((A,B|1,G|1),C|1),((A,B|1,G|1)|1,(B,G)))",4,11.0254556071805,11.0170133342408,11.0068627249057,,0.695416666666667
"(((A,B|1,G|1),C|1),((A,B|1,G|1)|1,(B,G)))",SYN-4,"5_(((A,B|1,G|1),C|1),((A,B|1,G|1)|1,(B,G)))",5,10.97806143198,11.0288227288763,11.0041232643421,,0.711408450704225
"(((A,B|1,G|1),C|1)|1,(G|2,H|1))",SYN-3,"4_(((A,B|1,G|1),C|1)|1,(G|2,H|1))",4,15.1400697902,17.09832188,23.485131564,,0.000694444444444445
"(((A,B|1,G|1),C|1)|1,(G|2,H|1))",SYN-4,"5_(((A,B|1,G|1),C|1)|1,(G|2,H|1))",5,22.49564964,11.338680625,21.426615925,,0.00028169014084507
"(((A,B|1,G|1),C|1)|1,(G|2,H|1))|1",SYN-4,"5_(((A,B|1,G|1),C|1)|1,(G|2,H|1))|1",5,16.2592742,19.87084867,24.48162551,,0.000140845070422535
"(((F,H),J),M)",SYN-3,"4_(((F,H),J),M)",4,28.003501612125,30.0407210498518,30.0218906978463,,0.281111111111111
"(((F,H),J),M)",SYN-4,"5_(((F,H),J),M)",5,35.0261899318645,29.9902807477368,30.0533001694217,,0.141267605633803
"((A,B|1,G|1),C|1)",SYN-2,"3_((A,B|1,G|1),C|1)",3,15.1731048442222,23.8157850911111,11.5793118433333,,0.00125
"((A,B|1,G|1),C|1)|2",SYN-3,"4_((A,B|1,G|1),C|1)|2",4,13.06761435,31.1525786933333,11.1982264373333,,0.000416666666666667
"((A,B|1,G|1),C|1)|2",SYN-4,"5_((A,B|1,G|1),C|1)|2",5,12.431958386,27.4971494733333,15.72951137,,0.000422535211267606
"((A,B|1,G|1)|1,(B,G))",SYN-2,"3_((A,B|1,G|1)|1,(B,G))",3,10.596103306098,10.6008956521957,10.5886868703807,,0.695
"((F,H),J)",SYN-2,"3_((F,H),J)",3,30.0716400318056,30.0595181951066,30.0066643193922,,0.280138888888889
"(A,B|1,G|1)",SYN-1,"2_(A,B|1,G|1)",2,11.8823455006923,24.1152086407692,13.9578735452308,,0.00183098591549296
"(B,G)",SYN-1,"2_(B,G)",2,10.4249092922854,10.3660620984086,10.4200020102487,,0.706197183098592
"(D,E)",SYN-1,"2_(D,E)",2,32.28239306375,21.52626128,13.2160464743125,,0.00225352112676056
"(D,E)",SYN-2,"3_(D,E)",3,37.8479889494118,20.7775611382353,13.2657143724118,,0.00236111111111111
"(D,E)",SYN-3,"4_(D,E)",4,41.30017922875,19.533374604625,13.36110432625,,0.00111111111111111
"(D,E)",SYN-4,"5_(D,E)",5,33.6658421821429,21.2338088181429,8.72089136757143,,0.00197183098591549
"(F,H)",SYN-1,"2_(F,H)",2,30.0191062153858,29.9763495805326,29.9554365851219,,0.282957746478873
"(G|2,H|1)",SYN-1,"2_(G|2,H|1)",2,13.74333215875,20.101082135,29.0501420675,,0.00112676056338028
"(G|2,H|1)",SYN-2,"3_(G|2,H|1)",3,15.8971989166667,14.7801187656667,37.1673939016667,,0.000833333333333333
"(G|2,H|1)|1",SYN-3,"4_(G|2,H|1)|1",4,10.5033261986,17.98863711,38.51482309,,0.000694444444444445
"(G|2,H|1)|1",SYN-4,"5_(G|2,H|1)|1",5,5.794566341,22.419522665,27.104433445,,0.00028169014084507
A,Mock,1_A,1,14.9957852216154,28.2708056007692,12.6036565357692,A,0.00183098591549296
B,Mock,1_B,1,10.0062155543685,10.003934376195,10.014654969808,B,0.706197183098592
C,Mock,1_C,1,21.847933054,15.310647182,12.0487732368,C,0.00140845070422535
C,SYN-1,2_C,2,26.0931354675,9.382085136125,10.265632037,C,0.00112676056338028
C|1,SYN-1,2_C|1,2,20.011923665,18.29503951,10.42191875,,0.00028169014084507
D,Mock,1_D,1,30.4794757375,25.7870334825,12.27134955125,D,0.00112676056338028
E,Mock,1_E,1,27.6715226121429,15.5805614124286,23.1489010385714,E,0.00197183098591549
E|1,SYN-1,2_E|1,2,32.3801198180952,13.1680800864286,27.5014148071429,,0.00295774647887324
E|1,SYN-2,3_E|1,3,36.6777522,12.9427967762857,30.8919034842857,,0.000972222222222222
E|1,SYN-3,4_E|1,4,35.8650436772727,11.0984399409091,33.3304593327273,,0.00152777777777778
E|1,SYN-4,5_E|1,5,32.5527394376923,10.6555744056923,29.4569225315385,,0.00183098591549296
